trials,size,time
1600, 120000, 0.0037151229998926283
1700, 120000, 0.0040324399997189175
1800, 120000, 0.004311378000238619
1900, 120000, 0.004393302000153199
2000, 120000, 0.0046952339998824755
2100, 120000, 0.005095003999940673
2200, 120000, 0.005096763999972609
2300, 120000, 0.005354287000045588
2400, 120000, 0.005613045999780297
2500, 120000, 0.0057827039995572704
2600, 120000, 0.006012315000134549
2700, 120000, 0.006234983000013017
2800, 120000, 0.0064926850000119884
2900, 120000, 0.006798160000016651
3000, 120000, 0.007017712000106258
3100, 120000, 0.007466893999662716
3200, 120000, 0.007468446000075346
3300, 120000, 0.007659739999780868
3400, 120000, 0.007917223000276863
3500, 120000, 0.008115479000025516
3600, 120000, 0.008417482000368182
3700, 120000, 0.008662946999720589
3800, 120000, 0.008822713999961707
3900, 120000, 0.009663766999892687
4000, 120000, 0.00945231200012131
4100, 120000, 0.009511829000075522
4200, 120000, 0.009953287999906024
4300, 120000, 0.010047054000096978
4400, 120000, 0.010227997000129108
4500, 120000, 0.010479929000211996
4600, 120000, 0.010781921000216244
4700, 120000, 0.010851974999695813
4800, 120000, 0.011188068000137719
4900, 120000, 0.011619888000041101
5000, 120000, 0.01191904200004501
5100, 120000, 0.011850704999687878
5200, 120000, 0.01215642899978775
5300, 120000, 0.01301623599965751
5400, 120000, 0.012530375000096683
5500, 120000, 0.013084594999781984
5600, 120000, 0.013362538999899698
5700, 120000, 0.013223597999967751
5800, 120000, 0.013518268000098033
5900, 120000, 0.013724107000143704
6000, 120000, 0.013890142999571253
6100, 120000, 0.01416880199985826
6200, 120000, 0.014332141000068077
6300, 120000, 0.014749196999673586
6400, 120000, 0.014808780000294064
6500, 120000, 0.01517011799978718
6600, 120000, 0.01526500699992539
6700, 120000, 0.01596967500017854
6800, 120000, 0.01640585299992381
6900, 120000, 0.016115164999973786
7000, 120000, 0.016999225000290608
7100, 120000, 0.01665820199968948
7200, 120000, 0.016741812999953254
7300, 120000, 0.017181856000206608
7400, 120000, 0.017177409999931115
7500, 120000, 0.01733307899985448
7600, 120000, 0.017584830000032525
7700, 120000, 0.018425368999942293
7800, 120000, 0.018263724999997066
7900, 120000, 0.019091830999968806
8000, 120000, 0.018641340999693057
8100, 120000, 0.018896868000410905
8200, 120000, 0.019195677999960026
8300, 120000, 0.02001860599966676
8400, 120000, 0.019477679000374337
8500, 120000, 0.01977339499990194
8600, 120000, 0.01991971500001455
8700, 120000, 0.02142244299966478
8800, 120000, 0.02044328800002404
8900, 120000, 0.021958762999929604
9000, 120000, 0.021367249000377342
9100, 120000, 0.02117561199975171
9200, 120000, 0.021458200000324723
9300, 120000, 0.02252425399956337
9400, 120000, 0.02229880000004414
9500, 120000, 0.022921863999727066
9600, 120000, 0.02311222700018334
9700, 120000, 0.023333780000029947
9800, 120000, 0.023157925000305113
9900, 120000, 0.023174784999810072
1000, 130000, 0.0024468190003972268
1100, 130000, 0.0025471450003351492
1200, 130000, 0.0027918590003537247
1300, 130000, 0.0030635950001851597
1400, 130000, 0.0033235430000786437
1500, 130000, 0.0036591110001609195
1600, 130000, 0.0037081589998706477
1700, 130000, 0.003998628999852372
1800, 130000, 0.004187670000192156
1900, 130000, 0.004726088000097661
2000, 130000, 0.004766849000134243
2100, 130000, 0.0048388699997303775
